title,original_title,popularity,vote_average,vote_count,release_date
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,劇場版「鬼滅の刃」無限列車編,86.324,8.215,3932,2020-10-16
The Shining,The Shining,80.839,8.2,17415,1980-05-23
The Help,The Help,76.986,8.213,8240,2011-08-09
Witness for the Prosecution,Witness for the Prosecution,24.122,8.2,1389,1957-12-17
Coco,Coco,224.68,8.209,19435,2017-10-27
Out of the Clear Blue Sky,Como caído del cielo,13.452,8.206,344,2019-12-24
Woman in the Dunes,砂の女,22.776,8.2,439,1964-02-15
Star Wars,Star Wars,87.384,8.2,20545,1977-05-25
Maquia: When the Promised Flower Blooms,さよならの朝に約束の花をかざろう,25.212,8.2,626,2018-02-24
Shutter Island,Shutter Island,80.861,8.2,23878,2010-02-14
The Prestige,The Prestige,70.328,8.203,15969,2006-10-17
The Apartment,The Apartment,29.656,8.2,2278,1960-06-21
Top Gun: Maverick,Top Gun: Maverick,175.9,8.2,9176,2022-05-21
Hacksaw Ridge,Hacksaw Ridge,112.476,8.2,13671,2016-10-07
Violet Evergarden: Eternity and the Auto Memory Doll,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,28.933,8.2,364,2019-09-06
A Clockwork Orange,A Clockwork Orange,43.257,8.2,12799,1971-12-19
Bicycle Thieves,Ladri di biciclette,24.854,8.192,2381,1948-07-21
The Art of Racing in the Rain,The Art of Racing in the Rain,32.987,8.2,1474,2019-08-08
Doctor Who: The Day of the Doctor,Doctor Who: The Day of the Doctor,15.253,8.2,744,2013-11-23
The Seventh Seal,Det sjunde inseglet,23.64,8.2,2967,1957-02-16
Michael Jackson's Thriller,Michael Jackson's Thriller,18.025,8.2,676,1983-11-14
Django Unchained,Django Unchained,71.759,8.2,26160,2012-12-25
The Usual Suspects,The Usual Suspects,47.407,8.182,10328,1995-07-19
Memento,Memento,47.672,8.18,14798,2000-10-11
Hamilton,Hamilton,24.44,8.2,1404,2020-07-03
Tokyo Story,東京物語,20.356,8.181,1052,1953-11-03
Persona,Persona,22.166,8.2,2130,1966-10-18
Investigation of a Citizen Above Suspicion,Indagine su un cittadino al di sopra di ogni sospetto,18.166,8.177,769,1970-10-16
My Mom Is a Character 3,Minha Mãe é uma Peça 3: O Filme,10.099,8.2,472,2019-12-26
The Kid,The Kid,16.135,8.2,2089,1921-01-21
Jujutsu Kaisen 0,劇場版 呪術廻戦 0,64.609,8.172,1392,2021-12-24
Steven Universe: The Movie,Steven Universe: The Movie,28.873,8.2,775,2019-10-07
My Hero Academia: Heroes Rising,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,44.859,8.2,1161,2019-12-20
Scarface,Scarface,83.268,8.2,11772,1983-12-09
Vertigo,Vertigo,35.667,8.2,5709,1958-05-28
The Departed,The Departed,73.706,8.2,14821,2006-10-04
Green Snake,白蛇 II: 青蛇劫起,27.802,8.2,301,2021-07-23
Silenced,도가니,22.952,8.2,626,2011-09-22
Casablanca,Casablanca,32.985,8.2,5419,1943-01-15
Good Will Hunting,Good Will Hunting,106.249,8.2,12307,1997-12-05
Capernaum,کفرناحوم,23.124,8.159,1690,2018-09-20
Alien,Alien,118.658,8.158,14709,1979-05-25
8½,8½,17.648,8.2,2259,1963-02-14
The Shop Around the Corner,The Shop Around the Corner,25.905,8.2,713,1940-01-12
Singin' in the Rain,Singin' in the Rain,31.914,8.2,3116,1952-04-09
Stalker,Сталкер,28.275,8.156,2150,1979-05-25
Dune: Part Two,Dune: Part Two,181.031,8.2,5557,2024-02-27
There's Still Tomorrow,C'è ancora domani,22.524,8.2,1206,2023-10-26
Togo,Togo,27.107,8.2,1996,2019-12-20
Joker,Joker,154.549,8.148,25647,2019-10-01
Scenes from a Marriage,Scener ur ett äktenskap,15.971,8.1,346,1974-09-15
The Truman Show,The Truman Show,69.308,8.1,18270,1998-06-04
20th Century Girl,20세기 소녀,90.033,8.1,685,2022-10-06
Zack Snyder's Justice League,Zack Snyder's Justice League,84.423,8.143,9950,2021-03-18
Piper,Piper,13.005,8.1,1611,2016-06-16
Innocent Voices,Voces inocentes,19.339,8.1,480,2005-01-28
Bound by Honor,Bound by Honor,41.01,8.142,1320,1993-02-05
Taxi Driver,Taxi Driver,51.642,8.1,12202,1976-02-09
Wild Strawberries,Smultronstället,15.098,8.1,1616,1957-08-28
My Friends,Amici miei,10.199,8.135,694,1975-10-24
Palmer,Palmer,28.89,8.134,1596,2021-01-28
Wonder,Wonder,44.489,8.1,7829,2017-11-13
Call Me by Your Name,Call Me by Your Name,53.617,8.1,12032,2017-07-28
Along with the Gods: The Last 49 Days,신과함께-인과 연,34.788,8.1,661,2018-08-01
Full Metal Jacket,Full Metal Jacket,56.217,8.129,10427,1987-06-26
The Hate U Give,The Hate U Give,38.61,8.1,2111,2018-10-19
Soul,Soul,66.02,8.1,10402,2020-12-25
The Father,The Father,25.971,8.1,3166,2020-12-23
Better Days,少年的你,24.536,8.122,441,2019-10-25
Reservoir Dogs,Reservoir Dogs,50.656,8.1,14232,1992-09-02
Central Station,Central do Brasil,19.286,8.1,889,1998-11-20
Terminator 2: Judgment Day,Terminator 2: Judgment Day,85.104,8.1,12819,1991-07-03
The Great War,La grande guerra,8.51,8.119,340,1959-10-28
Metropolis,Metropolis,30.124,8.12,2740,1927-02-06
"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",16.02,8.118,6543,1998-08-28
"“The Shorts” by Aldo, Giovanni and Giacomo","“I Corti” di Aldo, Giovanni & Giacomo",5.899,8.1,345,1996-03-29
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,48.883,8.1,5591,1964-01-29
In the Mood for Love,花樣年華,34.032,8.1,2706,2000-09-29
Purple Hearts,Purple Hearts,39.304,8.115,2520,2022-07-29
Double Indemnity,Double Indemnity,19.373,8.1,1780,1944-07-06
The Invisible Guest,Contratiempo,51.578,8.114,4508,2017-01-06
Portrait of a Lady on Fire,Portrait de la jeune fille en feu,36.471,8.1,2529,2019-09-18
Incendies,Incendies,30.854,8.1,2717,2010-09-17
"Paris, Texas","Paris, Texas",25.833,8.1,1836,1984-07-16
Sansho the Bailiff,山椒大夫,17.92,8.1,369,1954-03-31
Mortal Kombat Legends: Scorpion's Revenge,Mortal Kombat Legends: Scorpion's Revenge,46.502,8.1,1371,2020-04-12
The Tale of The Princess Kaguya,かぐや姫の物語,27.779,8.1,1772,2013-11-23
Big Deal on Madonna Street,I soliti ignoti,13.899,8.1,694,1958-07-26
All About Eve,All About Eve,18.364,8.1,1516,1950-11-09
Some Like It Hot,Some Like It Hot,34.117,8.1,3442,1959-03-19
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,89.528,8.099,14889,2004-03-19
Prisoners,Prisoners,53.581,8.1,11709,2013-09-19
The Hunt,Jagten,26.46,8.1,4155,2012-06-13
Yojimbo,用心棒,21.285,8.096,1438,1961-04-25
New Gods: Nezha Reborn,新神榜：哪吒重生,22.37,8.095,414,2021-02-06
The Best of Youth,La meglio gioventù,11.612,8.095,529,2003-06-22
Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,120.721,8.094,20473,2011-07-12
Transformers One,Transformers One,1334.911,8.1,671,2024-09-11
WALL·E,WALL·E,77.073,8.093,18707,2008-06-22
La Haine,La Haine,28.578,8.1,4017,1995-05-31
Red Beard,赤ひげ,16.247,8.1,352,1965-04-03
La Dolce Vita,La dolce vita,23.931,8.1,1842,1960-02-05
Children of Paradise,Les Enfants du Paradis,14.211,8.094,408,1945-03-15
"Miraculous World: New York, United HeroeZ","Miraculous World : New York, les héros unis",42.998,8.1,1087,2020-09-25
Guillermo del Toro's Pinocchio,Guillermo del Toro's Pinocchio,38.607,8.1,2887,2022-11-09
Das Boot,Das Boot,24.357,8.1,2196,1981-09-17
Along with the Gods: The Two Worlds,신과함께-죄와 벌,32.629,8.1,1035,2017-12-20
M,M - Eine Stadt sucht einen Mörder,20.686,8.084,2165,1931-05-11
Rashomon,羅生門,22.42,8.1,2196,1950-08-26
Oppenheimer,Oppenheimer,126.197,8.1,9227,2023-07-19
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,映画 この素晴らしい世界に祝福を！紅伝説,30.133,8.1,543,2019-08-30
There Will Be Blood,There Will Be Blood,34.084,8.1,6568,2007-12-26
A Taxi Driver,택시운전사,23.915,8.1,972,2017-08-02
Prayers for Bobby,Prayers for Bobby,17.201,8.08,578,2009-01-24
Believe Me: The Abduction of Lisa McVey,Believe Me: The Abduction of Lisa McVey,33.535,8.1,615,2018-09-30
Pride & Prejudice,Pride & Prejudice,65.215,8.075,8002,2005-09-16
2001: A Space Odyssey,2001: A Space Odyssey,56.165,8.1,11471,1968-04-02
Far from the Tree,Far from the Tree,13.601,8.1,366,2021-11-24
Lion,Lion,29.11,8.07,6519,2016-11-24
Sherlock Jr.,Sherlock Jr.,13.12,8.1,981,1924-04-17
Robot Dreams,Robot Dreams,56.45,8.1,542,2023-12-06
Me Against You: Mr. S's Vendetta,Me contro Te: Il film - La vendetta del Signor S,8.034,8.1,466,2020-01-17
My Neighbor Totoro,となりのトトロ,51.523,8.1,7927,1988-04-16
