title,original_title,popularity,vote_average,vote_count,release_date
The Man Who Invented Christmas,The Man Who Invented Christmas,20.431,6.8,782,2017-10-12
Being 17,Quand on a 17 ans,13.33,6.848,358,2016-02-27
Never Let Me Go,Never Let Me Go,18.83,6.848,2258,2010-03-18
The Princess Switch: Switched Again,The Princess Switch: Switched Again,29.334,6.8,861,2020-11-19
Alienoid,외계+인 1부,100.212,6.8,426,2022-07-20
To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,36.794,6.844,2522,2020-02-03
Moonstruck,Moonstruck,22.752,6.8,919,1987-12-16
Final Cut,Coupez !,13.335,6.846,400,2022-05-18
Babyteeth,Babyteeth,9.576,6.8,338,2020-06-15
Dragon Ball Z: Resurrection 'F',ドラゴンボールZ 復活の「F」,58.059,6.8,1897,2015-04-18
Honeymoon Trips,Viaggi di nozze,9.37,6.846,490,1995-12-15
The Edge,The Edge,23.797,6.8,1152,1997-09-06
King Kong vs. Godzilla,キングコング対ゴジラ,20.936,6.8,301,1962-08-11
Piranhas,La paranza dei bambini,13.106,6.845,511,2019-02-14
The Descendants,The Descendants,20.032,6.8,2763,2011-09-09
Berlin Calling,Berlin Calling,14.846,6.8,332,2008-10-01
Quest for Camelot,Quest for Camelot,25.124,6.8,792,1998-05-15
Interiors,Interiors,9.477,6.8,342,1978-08-02
Pitch Black,Pitch Black,15.227,6.8,4364,2000-02-18
Rent,Rent,10.956,6.8,546,2005-11-17
Spaceballs,Spaceballs,35.715,6.845,2936,1987-06-24
Nope,Nope,47.52,6.843,4076,2022-07-20
It Chapter Two,It Chapter Two,84.565,6.8,8701,2019-09-04
Goliath,Goliath,7.497,6.8,345,2022-03-09
Spontaneous,Spontaneous,11.75,6.8,527,2020-10-02
The Red Sea Diving Resort,The Red Sea Diving Resort,20.626,6.8,803,2019-07-28
Ash Is Purest White,江湖儿女,19.993,6.8,315,2018-09-21
Battle of the Year,Battle of the Year,19.345,6.843,332,2013-09-21
Flight,Flight,31.957,6.843,5933,2012-11-02
Defiance,Defiance,23.12,6.8,1718,2008-12-31
Iron Man 2,Iron Man 2,93.375,6.843,20892,2010-04-28
Think Like a Man,Think Like a Man,15.141,6.8,832,2012-04-20
Joseph: King of Dreams,Joseph: King of Dreams,38.949,6.8,998,2000-11-07
Overboard,Overboard,25.521,6.8,838,1987-12-16
Fantomas,Fantômas,12.11,6.8,721,1964-11-04
The Marksman,The Marksman,43.666,6.8,1577,2021-01-15
Shut In,Shut In,16.983,6.8,358,2022-03-24
Another Cinderella Story,Another Cinderella Story,26.943,6.8,1727,2008-09-16
Fatal Attraction,Fatal Attraction,27.808,6.8,1477,1987-09-18
Payback,Payback,21.827,6.841,1775,1999-02-05
Win Win,Win Win,12.448,6.8,491,2011-03-18
Uptown Girls,Uptown Girls,54.964,6.8,874,2003-08-15
Barfly,Barfly,12.38,6.8,337,1987-09-02
The Savages,The Savages,7.608,6.8,378,2007-11-28
Bad Times at the El Royale,Bad Times at the El Royale,27.06,6.8,3525,2018-10-04
22 Jump Street,22 Jump Street,37.284,6.8,7885,2014-06-05
My Awkward Sexual Adventure,My Awkward Sexual Adventure,14.527,6.839,342,2012-09-11
Hook,Hook,36.652,6.8,5250,1991-04-10
Armageddon,Armageddon,44.232,6.8,7869,1998-07-01
Army of Thieves,Army of Thieves,46.109,6.8,2019,2021-10-29
Dragonheart: Vengeance,Dragonheart: Vengeance,43.807,6.8,308,2020-02-04
Bird Box,Bird Box,43.667,6.8,9862,2018-12-13
The Big Chill,The Big Chill,16.534,6.8,577,1983-09-30
Death Proof,Death Proof,39.027,6.8,5112,2007-05-22
Priscilla,Priscilla,31.637,6.8,764,2023-10-27
The Dry,The Dry,22.152,6.8,659,2021-01-01
Girls Trip,Girls Trip,21.097,6.8,1492,2017-07-21
The Importance of Being Earnest,The Importance of Being Earnest,14.897,6.837,469,2002-05-17
Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,49.512,6.836,9906,2016-09-27
Annapolis,Annapolis,14.877,6.8,503,2006-01-27
Wicker Park,Wicker Park,16.206,6.8,670,2004-09-03
Thelma,Thelma,15.533,6.8,1012,2017-09-15
The Young Karl Marx,Le Jeune Karl Marx,11.99,6.8,303,2017-03-02
Venom,Venom,722.389,6.835,15944,2018-09-28
Dredd,Dredd,28.317,6.8,4994,2012-09-07
Bird,Bird,14.709,6.8,316,1988-06-01
She Wore a Yellow Ribbon,She Wore a Yellow Ribbon,17.743,6.8,349,1949-10-22
Slap Shot,Slap Shot,17.806,6.8,369,1977-02-25
Two Lovers,Two Lovers,12.056,6.8,838,2008-11-19
Closer,Closer,21.848,6.8,3383,2004-12-03
Kill Boksoon,길복순,29.499,6.8,416,2023-02-17
Let Him Go,Let Him Go,18.636,6.833,658,2020-11-05
Don't Let Go,Don't Let Go,15.3,6.8,377,2019-08-30
Chained,Chained,12.852,6.8,474,2012-10-02
Stick It,Stick It,13.983,6.8,556,2006-04-21
Frozen Fever,Frozen Fever,27.498,6.8,1814,2015-03-09
The Misfits Club,El Club de los Incomprendidos,11.42,6.8,407,2014-12-25
Spy,Spy,27.136,6.8,5965,2015-05-06
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,16.858,6.8,475,2011-10-25
Barbie: A Fairy Secret,Barbie: A Fairy Secret,25.505,6.8,495,2011-03-01
About Schmidt,About Schmidt,16.531,6.8,1214,2002-12-12
Holy Camp!,La llamada,10.229,6.8,350,2017-09-29
All Star Superman,All Star Superman,12.803,6.8,482,2011-01-01
Barbie Fairytopia: Magic of the Rainbow,Barbie Fairytopia: Magic of the Rainbow,20.063,6.8,436,2007-03-13
Step Up All In,Step Up All In,27.366,6.8,1917,2014-07-16
Time After Time,Time After Time,15.085,6.8,333,1979-09-28
The Ghost Writer,The Ghost Writer,20.629,6.8,2189,2010-02-12
Sister Act,Sister Act,22.614,6.8,3152,1992-05-28
Outlaw King,Outlaw King,26.494,6.8,1527,2018-09-06
Dragon Ball: Curse of the Blood Rubies,ドラゴンボール 神龍の伝説,37.054,6.8,325,1986-12-20
Curse of the Golden Flower,滿城盡帶黃金甲,21.471,6.8,718,2006-12-14
Underworld,Underworld,47.841,6.8,6072,2003-09-19
Barbarian,Barbarian,39.702,6.8,2476,2022-09-08
Kandahar,Kandahar,40.745,6.8,1018,2023-05-25
Where Am I Going?,Quo vado?,8.72,6.8,2101,2016-01-01
We're the Millers,We're the Millers,48.29,6.8,8823,2013-08-07
Hesher,Hesher,13.773,6.8,673,2010-01-22
Mean Creek,Mean Creek,9.806,6.8,358,2004-08-20
Police Story 3: Super Cop,警察故事 III：超級警察,26.177,6.8,489,1992-07-04
Wonder Boys,Wonder Boys,12.024,6.8,589,2000-02-22
Now You See Me 2,Now You See Me 2,44.695,6.8,10651,2016-06-02
Chronicle,Chronicle,29.74,6.8,5246,2012-02-01
The Bank Job,The Bank Job,26.442,6.8,2286,2008-02-28
The African Doctor,Bienvenue à Marly-Gomont,14.535,6.8,639,2016-06-08
Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,45.129,6.825,13527,2017-12-09
The Young and Prodigious T.S. Spivet,The Young and Prodigious T.S. Spivet,18.176,6.8,782,2013-10-16
Legend of the Fist: The Return of Chen Zhen,精武風雲,21.49,6.8,397,2010-09-01
Kundun,Kundun,13.049,6.8,444,1997-12-25
Hang 'em High,Hang 'em High,31.485,6.8,748,1968-04-12
Enchanted,Enchanted,35.293,6.8,5370,2007-11-20
2048: Nowhere to Run,2048: Nowhere to Run,13.55,6.8,323,2017-09-14
The Crying Game,The Crying Game,19.815,6.824,731,1992-09-02
Creature from the Black Lagoon,Creature from the Black Lagoon,17.965,6.8,751,1954-03-05
Muriel's Wedding,Muriel's Wedding,14.675,6.8,445,1994-09-29
The Sisters Brothers,The Sisters Brothers,21.703,6.8,1898,2018-09-19
Everest,Everest,22.898,6.823,4833,2015-09-10
Eden Lake,Eden Lake,25.447,6.823,1762,2008-09-12
Any Given Sunday,Any Given Sunday,22.41,6.8,1617,1999-12-22
Chicken Run,Chicken Run,45.537,6.8,4997,2000-06-23
The War of the Worlds,The War of the Worlds,21.361,6.82,618,1953-08-13
Hard Candy,Hard Candy,41.902,6.822,2534,2005-01-14
An Unfinished Life,An Unfinished Life,14.031,6.8,622,2005-09-09
Parallel Mothers,Madres paralelas,31.166,6.8,913,2021-10-08
The Ice Road,The Ice Road,25.292,6.8,1660,2021-06-24
Below Her Mouth,Below Her Mouth,128.548,6.82,1172,2017-02-10
Pope Joan,Die Päpstin,15.607,6.8,338,2009-10-22
Abigail,Abigail,87.16,6.817,1179,2024-04-16
The Vault,Way Down,30.697,6.8,947,2021-03-04
Lords of Chaos,Lords of Chaos,13.298,6.8,461,2018-09-20
Kodachrome,Kodachrome,12.472,6.8,430,2017-09-08
The House at the End of Time,La casa del fin de los tiempos,16.08,6.82,308,2013-06-21
Cinderella,Cinderella,106.611,6.8,7042,2015-03-06
Everybody's Fine,Everybody's Fine,14.041,6.8,964,2009-12-04
Lost and Delirious,Lost and Delirious,23.214,6.8,488,2001-01-21
Space Jam,Space Jam,34.537,6.82,5968,1996-11-15
Tom at the Farm,Tom à la ferme,10.421,6.8,810,2014-04-16
Siberian Education,Educazione siberiana,12.747,6.8,535,2013-02-27
Fast & Furious 6,Fast & Furious 6,6.732,6.819,10520,2013-05-21
The Best Years,Gli anni più belli,7.442,6.8,411,2020-02-13
Tangled: Before Ever After,Tangled: Before Ever After,24.25,6.8,370,2017-03-10
Innerspace,Innerspace,21.992,6.8,1230,1987-07-01
World War Z,World War Z,90.689,6.817,15287,2013-06-19
Lemony Snicket's A Series of Unfortunate Events,Lemony Snicket's A Series of Unfortunate Events,41.848,6.816,4958,2004-12-16
Nineteen Eighty-Four,Nineteen Eighty-Four,14.729,6.817,1408,1984-11-09
The Innocent,L'Innocent,10.01,6.814,325,2022-10-12
Step Up 3D,Step Up 3D,24.68,6.8,1881,2010-08-04
Bad Boys,Bad Boys,57.463,6.8,6319,1995-04-07
A Lot Like Love,A Lot Like Love,14.034,6.8,1264,2005-04-21
Vanilla Sky,Vanilla Sky,23.239,6.815,4111,2001-12-14
Captain Marvel,Captain Marvel,54.806,6.815,15628,2019-03-06
Beasts of the Southern Wild,Beasts of the Southern Wild,14.0,6.8,1041,2012-06-29
The Last Boy Scout,The Last Boy Scout,31.343,6.8,1870,1991-12-13
Atlas,Atlas,79.431,6.813,1212,2024-05-23
We Die Young,We Die Young,23.586,6.8,326,2019-05-09
American Honey,American Honey,13.433,6.814,831,2016-09-30
The Water Diviner,The Water Diviner,17.6,6.8,1216,2014-12-25
Seven Psychopaths,Seven Psychopaths,19.154,6.8,3881,2012-10-12
Two Sons of Francisco,2 Filhos de Francisco: A História de Zezé di Camargo & Luciano,17.395,6.8,395,2005-08-19
Ravenous,Ravenous,16.576,6.8,596,1999-03-16
Can You Ever Forgive Me?,Can You Ever Forgive Me?,12.879,6.8,1247,2018-10-19
The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,92.497,6.8,15728,2014-11-19
Dark Water,仄暗い水の底から,17.578,6.8,603,2002-01-19
She's the Man,She's the Man,42.93,6.813,2974,2006-03-17
The Wedding Date,The Wedding Date,22.73,6.8,1168,2005-02-04
Danger Close: The Battle of Long Tan,Danger Close: The Battle of Long Tan,35.687,6.8,320,2019-08-08
A Private War,A Private War,16.193,6.809,495,2018-11-16
Den of Thieves,Den of Thieves,60.323,6.8,2829,2018-01-18
Winter's Bone,Winter's Bone,15.912,6.8,1753,2010-06-11
Che: Part One,Che: Part One,15.612,6.811,730,2008-09-05
Rumble,Rumble,25.479,6.81,504,2021-02-12
Rumble in the Bronx,紅番區,22.043,6.8,1014,1995-01-21
Brick,Brick,13.284,6.8,1224,2006-03-31
The Princess,The Princess,27.338,6.8,776,2022-06-16
Spencer,Spencer,21.117,6.805,1623,2021-11-04
The Last Voyage of the Demeter,The Last Voyage of the Demeter,47.625,6.8,1553,2023-08-09
A Gang Story,Les Lyonnais,15.615,6.8,358,2011-11-10
Kickboxer,Kickboxer,26.252,6.8,1389,1989-04-20
The Princess Switch 3: Romancing the Star,The Princess Switch 3: Romancing the Star,23.167,6.8,413,2021-11-18
The Boys in the Band,The Boys in the Band,13.475,6.8,422,2020-09-30
Demolition,Demolition,18.17,6.8,2180,2016-04-06
Non-Stop,Non-Stop,23.02,6.8,5295,2014-02-26
We Have a Pope,Habemus Papam,15.6,6.808,538,2011-04-15
Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,27.903,6.8,2288,2010-07-10
Halloweentown,Halloweentown,13.908,6.8,532,1998-11-10
They Called Him Bulldozer,Lo chiamavano Bulldozer,9.154,6.8,313,1978-09-15
District B13,Banlieue 13,20.655,6.8,1807,2004-11-09
Transformers,Transformers,22.785,6.808,11197,2007-06-27
Jexi,Jexi,17.989,6.8,1178,2019-10-10
Thunder Road,Thunder Road,13.308,6.807,405,2018-09-12
Harry Brown,Harry Brown,13.95,6.8,1036,2009-11-11
Lock Up,Lock Up,21.425,6.8,1193,1989-08-04
How to Lose a Guy in 10 Days,How to Lose a Guy in 10 Days,47.729,6.8,3899,2003-02-07
La Cage aux Folles,La Cage aux folles,12.669,6.8,394,1978-10-25
Incantation,咒,34.83,6.8,655,2022-03-18
The Old Ways,The Old Ways,12.166,6.8,330,2021-04-04
Wild Rose,Wild Rose,18.905,6.806,319,2019-04-12
Black or White,Black or White,12.385,6.8,341,2014-09-06
Resident Evil: Degeneration,バイオハザード：ディジェネレーション,25.481,6.8,1055,2008-02-13
Leopardi,Il giovane favoloso,6.997,6.8,651,2014-10-16
Home,Home,41.482,6.8,3940,2015-03-18
Easy A,Easy A,28.401,6.8,6861,2010-09-16
Pooh's Heffalump Movie,Pooh's Heffalump Movie,25.618,6.8,443,2005-02-11
Naked Weapon,赤裸特工,5.199,6.8,356,2002-11-15
Cube,Cube,18.195,6.8,4713,1997-12-10
The World's End,The World's End,25.841,6.8,5361,2013-07-18
Tommy Boy,Tommy Boy,18.791,6.8,936,1995-03-31
Love Story,Love Story,24.444,6.8,681,1970-12-16
Ashfall,백두산,24.911,6.8,568,2019-12-19
Sorry to Bother You,Sorry to Bother You,23.52,6.8,1539,2018-07-06
Bleed for This,Bleed for This,15.695,6.8,762,2016-11-04
Blue Ruin,Blue Ruin,14.799,6.8,1428,2014-04-25
Animal Kingdom,Animal Kingdom,13.688,6.8,808,2010-06-03
Blade,Blade,58.593,6.8,5979,1998-08-21
Adam,Adam,12.751,6.8,431,2009-07-07
Fast Times at Ridgemont High,Fast Times at Ridgemont High,20.063,6.8,1214,1982-08-13
A Scanner Darkly,A Scanner Darkly,14.356,6.8,1728,2006-07-07
eXistenZ,eXistenZ,17.473,6.803,1905,1999-04-14
Cruel Intentions,Cruel Intentions,64.124,6.803,3234,1999-03-05
Bombshell,Bombshell,22.101,6.8,2955,2019-12-13
Babysitting,Babysitting,14.539,6.802,1908,2014-04-16
Rio Grande,Rio Grande,16.988,6.802,326,1950-11-15
Sweet and Lowdown,Sweet and Lowdown,11.603,6.8,493,1999-12-03
Conan the Barbarian,Conan the Barbarian,35.118,6.8,2473,1982-04-02
A Quiet Place: Day One,A Quiet Place: Day One,256.651,6.8,2105,2024-06-26
Kung Fu Jungle,一個人的武林,19.837,6.8,448,2014-10-31
Scrooged,Scrooged,32.184,6.8,1487,1988-11-22
Blink Twice,Blink Twice,126.532,6.8,795,2024-08-21
Don't Worry Darling,Don't Worry Darling,34.846,6.8,2448,2022-09-21
Venom: Let There Be Carnage,Venom: Let There Be Carnage,644.555,6.8,10169,2021-09-30
The Aeronauts,The Aeronauts,15.532,6.8,1086,2019-11-04
Phenomena,Phenomena,18.279,6.8,803,1985-01-25
The Return of the Pink Panther,The Return of the Pink Panther,19.338,6.8,589,1975-05-21
Vicky Cristina Barcelona,Vicky Cristina Barcelona,23.118,6.8,3684,2008-08-15
The Thomas Crown Affair,The Thomas Crown Affair,17.996,6.8,481,1968-06-26
RETURN,RETURN,5.149,6.799,514,1985-01-01
After Ever Happy,After Ever Happy,57.657,6.8,1212,2022-08-24
Ultimate Avengers: The Movie,Ultimate Avengers: The Movie,15.535,6.799,343,2006-02-21
Them!,Them!,21.652,6.8,413,1954-06-16
Memory,Memory,42.432,6.8,1479,2022-04-28
The Call,The Call,43.411,6.8,2853,2013-03-14
The Women on the 6th Floor,Les Femmes du 6e étage,8.391,6.8,378,2011-02-16
Hairspray,Hairspray,22.847,6.8,406,1988-02-26
The Family Man,The Family Man,24.141,6.8,1930,2000-12-12
Heart of Stone,Heart of Stone,49.327,6.8,1669,2023-08-09
The Autopsy of Jane Doe,The Autopsy of Jane Doe,46.7,6.797,4219,2016-12-21
Talcum Powder,Borotalco,7.067,6.8,453,1982-01-22
How to Marry a Millionaire,How to Marry a Millionaire,15.653,6.8,514,1953-10-29
City of Angels,City of Angels,30.839,6.8,2103,1998-04-10
Riki-Oh: The Story of Ricky,力王,18.513,6.8,311,1991-10-05
State of Play,State of Play,20.119,6.796,1923,2009-04-17
Sightless,Sightless,14.384,6.795,385,2020-09-29
We Bought a Zoo,We Bought a Zoo,25.875,6.8,2669,2011-12-08
Paulie,Paulie,21.824,6.8,463,1998-04-17
Mongol: The Rise of Genghis Khan,Монгол,17.665,6.8,673,2007-09-20
The Spy Who Loved Me,The Spy Who Loved Me,30.768,6.8,1958,1977-07-07
Black and Blue,Black and Blue,21.839,6.8,851,2019-10-25
'71,'71,20.387,6.8,1109,2014-10-10
Chitty Chitty Bang Bang,Chitty Chitty Bang Bang,20.524,6.8,647,1968-12-17
The Bone Collector,The Bone Collector,24.19,6.794,3464,1999-11-04
Romeo + Juliet,Romeo + Juliet,30.677,6.8,4957,1996-11-01
Allied,Allied,20.335,6.8,4494,2016-02-12
The Blob,The Blob,21.867,6.8,885,1988-08-05
Respect,Respect,17.151,6.8,406,2021-08-12
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,Hundraåringen som klev ut genom fönstret och försvann,26.609,6.791,919,2013-12-25
The Restaurant,Le Grand Restaurant,17.986,6.8,486,1966-09-09
Presumed Innocent,Presumed Innocent,24.869,6.8,676,1990-07-27
The Ghost and the Darkness,The Ghost and the Darkness,23.336,6.8,1012,1996-10-11
The Bikeriders,The Bikeriders,44.366,6.8,643,2024-06-19
Run to You,Corro da te,17.402,6.8,359,2022-03-17
Mi prima la sexóloga,Mi prima la sexóloga,22.044,6.8,490,2016-07-20
Please Stand By,Please Stand By,19.218,6.8,464,2018-01-26
Star Wars: The Last Jedi,Star Wars: The Last Jedi,69.292,6.79,15212,2017-12-13
Dragon Ball Z: Battle of Gods,ドラゴンボールZ 神と神,60.185,6.79,1519,2013-03-30
The Parallax View,The Parallax View,17.632,6.8,303,1974-06-14
Get Rich or Die Tryin',Get Rich or Die Tryin',26.905,6.8,903,2005-11-09
Uncle Buck,Uncle Buck,23.362,6.8,1166,1989-08-16
Klute,Klute,17.993,6.8,433,1971-06-23
The Sadness,哭悲,44.719,6.789,846,2021-01-22
Go!,Go!,14.612,6.8,308,2020-01-16
Human Traffic,Human Traffic,10.123,6.8,332,1999-06-04
Dumplin',Dumplin',17.825,6.8,1380,2018-12-20
Safety Not Guaranteed,Safety Not Guaranteed,18.965,6.788,1421,2012-06-08
Tinker Bell and the Lost Treasure,Tinker Bell and the Lost Treasure,38.264,6.791,987,2009-09-03
Chappie,Chappie,64.44,6.8,7852,2015-03-04
The Book of Eli,The Book of Eli,35.381,6.8,6047,2010-01-14
Apocalypse Z: The Beginning of the End,Apocalipsis Z: el principio del fin,2080.616,6.8,425,2024-10-04
Loro 1,Loro 1,13.55,6.8,524,2018-04-24
Star Trek Beyond,Star Trek Beyond,37.119,6.786,6570,2016-07-07
Justice League: The New Frontier,Justice League: The New Frontier,25.708,6.8,504,2008-02-26
11:14,11:14,15.865,6.8,844,2003-09-05
No Hard Feelings,No Hard Feelings,50.804,6.784,2975,2023-06-15
Day Shift,Day Shift,26.113,6.8,1913,2022-08-12
Asterix: The Mansions of the Gods,Astérix : Le Domaine des dieux,23.107,6.8,1353,2014-11-26
The Naked Gun 2½: The Smell of Fear,The Naked Gun 2½: The Smell of Fear,36.3,6.8,2202,1991-06-28
Michael Clayton,Michael Clayton,18.429,6.785,1709,2007-09-28
Tully,Tully,19.403,6.8,1414,2018-05-04
Fallen,Fallen,17.768,6.8,1411,1998-01-16
Champions,Champions,25.669,6.8,357,2023-03-09
Roald Dahl's Matilda the Musical,Roald Dahl's Matilda the Musical,43.211,6.783,722,2022-11-25
Smallfoot,Smallfoot,19.406,6.8,1499,2018-09-20
200 Pounds Beauty,미녀는 괴로워,19.855,6.8,314,2006-12-14
The Unbearable Weight of Massive Talent,The Unbearable Weight of Massive Talent,34.028,6.8,1976,2022-04-20
The Power of the Dog,The Power of the Dog,32.425,6.781,2636,2021-10-25
Bodyguards and Assassins,十月圍城,12.2,6.8,360,2009-12-18
The Fugitives,Les Fugitifs,11.409,6.781,376,1986-12-17
Chariots of Fire,Chariots of Fire,18.798,6.8,904,1981-05-15
Cop Land,Cop Land,18.524,6.8,1565,1997-08-15
Stage Fright,Stage Fright,12.78,6.8,322,1950-02-23
Malignant,Malignant,25.245,6.8,2294,2021-09-01
Tom & Jerry,Tom & Jerry,38.797,6.8,2433,2021-02-10
The Panic in Needle Park,The Panic in Needle Park,13.027,6.8,321,1971-06-01
The Merchant of Venice,The Merchant of Venice,15.074,6.8,548,2004-12-03
Panic Room,Panic Room,28.116,6.8,4895,2002-03-29
People Like Us,People Like Us,12.795,6.8,611,2012-06-29
Let Me In,Let Me In,20.637,6.779,1984,2010-10-01
History of the World: Part I,History of the World: Part I,20.395,6.8,783,1981-06-12
Legally Blonde,Legally Blonde,73.984,6.781,3978,2001-07-13
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,29.153,6.779,5335,2006-11-01
Project Almanac,Project Almanac,27.889,6.8,2589,2015-01-28
The Drop,The Drop,36.029,6.8,2145,2014-09-12
Three... Extremes,"쓰리, 몬스터",10.52,6.8,360,2004-08-20
In the Valley of Elah,In the Valley of Elah,16.213,6.8,977,2007-09-14
Westworld,Westworld,18.836,6.8,1277,1973-08-15
Leave No Trace,Leave No Trace,15.288,6.8,1202,2018-06-29
Steve Jobs,Steve Jobs,19.724,6.777,4084,2015-10-09
The DUFF,The DUFF,21.242,6.8,4341,2015-02-20
Anna and the King,Anna and the King,17.591,6.8,764,1999-12-16
Red Rocket,Red Rocket,16.474,6.8,457,2021-12-10
Look Who's Back,Er ist wieder da,20.216,6.776,1766,2015-10-08
Hotel Transylvania 2,Hotel Transylvania 2,54.029,6.8,5713,2015-09-21
House on Haunted Hill,House on Haunted Hill,12.607,6.775,522,1959-01-01
The Tiger and the Snow,La tigre e la neve,14.448,6.8,471,2005-10-14
The Italian Job,The Italian Job,40.21,6.776,5474,2003-05-30
Masquerade,Mascarade,25.778,6.8,408,2022-11-01
Jersey Boys,Jersey Boys,14.373,6.8,687,2014-06-18
The Rescuers,The Rescuers,29.888,6.8,2459,1977-06-22
Going Places,Les Valseuses,17.514,6.8,427,1974-03-20
The Swan,The Swan,13.356,6.8,369,2023-09-27
Il ragazzo di campagna,Il ragazzo di campagna,7.487,6.774,389,1984-12-20
Charlotte's Web,Charlotte's Web,17.317,6.8,370,1973-03-01
Miss Pettigrew Lives for a Day,Miss Pettigrew Lives for a Day,12.337,6.8,390,2008-03-07
The Little Rascals,The Little Rascals,33.509,6.8,1199,1994-08-05
The Craft,The Craft,27.225,6.773,1854,1996-05-03
Sixteen Candles,Sixteen Candles,24.478,6.773,2055,1984-05-04
Red Notice,Red Notice,55.714,6.772,5742,2021-11-04
Oedipus Rex,Edipo re,17.185,6.8,340,1967-09-07
Prince of Darkness,Prince of Darkness,16.415,6.8,995,1987-10-23
Manitou's Shoe,Der Schuh des Manitu,14.16,6.8,478,2001-07-11
SuperFly,SuperFly,21.462,6.8,376,2018-06-13
Niagara,Niagara,18.015,6.8,378,1953-01-26
Four Weddings and a Funeral,Four Weddings and a Funeral,36.578,6.771,2657,1994-03-09
Bob Marley: One Love,Bob Marley: One Love,44.449,6.766,717,2024-02-14
The Man Who Killed Don Quixote,The Man Who Killed Don Quixote,14.588,6.8,998,2018-05-19
99 Homes,99 Homes,24.022,6.8,741,2015-09-25
Blast from the Past,Blast from the Past,25.832,6.77,1078,1999-02-12
Hannibal,Hannibal,6.109,6.8,4694,2001-02-08
Napoleon Dynamite,Napoleon Dynamite,23.336,6.772,1859,2004-06-11
Practical Magic,Practical Magic,36.694,6.8,1497,1998-10-16
Last Flag Flying,Last Flag Flying,10.748,6.8,440,2017-11-03
Danny Collins,Danny Collins,11.619,6.769,515,2015-03-19
The Warlords,投名狀,15.67,6.8,321,2007-12-12
Thor,Thor,58.56,6.769,21048,2011-04-21
The Ash Lad: In the Hall of the Mountain King,Askeladden - I Dovregubbens hall,32.783,6.8,365,2017-09-29
Battle of the Sexes,Battle of the Sexes,27.474,6.767,1835,2017-09-22
We Are Your Friends,We Are Your Friends,23.165,6.8,2316,2015-08-26
7 and 8,Il 7 e l'8,5.87,6.768,650,2007-03-16
I Am Love,Io sono l'amore,12.319,6.768,352,2010-03-19
Tenacious D in The Pick of Destiny,Tenacious D in The Pick of Destiny,19.621,6.767,1582,2006-11-22
Monster's Ball,Monster's Ball,18.626,6.8,971,2001-06-07
Beau Is Afraid,Beau Is Afraid,24.892,6.767,987,2023-04-14
Black Mirror: Bandersnatch,Black Mirror: Bandersnatch,18.284,6.767,3840,2018-12-28
Teen Beach 2,Teen Beach 2,13.202,6.8,582,2015-06-26
The Wedding Singer,The Wedding Singer,17.224,6.8,1716,1998-02-13
Heaven's Gate,Heaven's Gate,19.549,6.8,356,1980-11-19
Paris Je T'aime,"Paris, je t'aime",19.056,6.767,748,2006-06-21
Super 8,Super 8,24.052,6.8,6538,2011-06-08
Primer,Primer,20.235,6.8,2129,2004-10-08
Far and Away,Far and Away,23.615,6.766,1182,1992-05-22
Secretary,Secretary,31.758,6.8,1606,2002-09-20
Four Brothers,Four Brothers,26.27,6.8,2107,2005-08-11
Bros,Bros,18.611,6.8,489,2022-09-30
21 Bridges,21 Bridges,24.723,6.8,1939,2019-10-24
Avengement,Avengement,19.079,6.8,486,2019-05-24
Hellboy II: The Golden Army,Hellboy II: The Golden Army,37.905,6.8,5146,2008-07-11
Burn Out,Burn Out,14.341,6.764,409,2018-01-03
Arthur Christmas,Arthur Christmas,29.985,6.8,1448,2011-11-10
Barbie Mariposa,Barbie Mariposa,19.021,6.764,509,2008-02-26
Body Double,Body Double,20.91,6.8,778,1984-10-25
Riding in Cars with Boys,Riding in Cars with Boys,13.673,6.8,440,2001-10-19
French Connection II,French Connection II,13.535,6.8,409,1975-05-18
Death Becomes Her,Death Becomes Her,44.702,6.8,2596,1992-07-30
Asterix in Britain,Astérix chez les Bretons,20.16,6.8,663,1986-12-03
Chasing Amy,Chasing Amy,15.19,6.8,1372,1997-04-04
Fantomas Unleashed,Fantômas se déchaîne,22.745,6.8,510,1965-12-08
The Square,The Square,11.459,6.763,1537,2017-08-25
The Night Porter,Il portiere di notte,19.988,6.763,327,1974-04-03
How the Grinch Stole Christmas,How the Grinch Stole Christmas,123.81,6.8,7355,2000-11-17
Level 16,Level 16,20.933,6.8,646,2018-02-20
The World Is Yours,Le Monde est à toi,11.709,6.8,414,2018-08-15
The Girl in the Fog,La ragazza nella nebbia,20.764,6.8,997,2017-10-26
Alaska,Alaska,7.842,6.762,304,2015-11-05
